"id","occasion","time","y","x","xcom","group"
1,0,0,6.70351482039821,5.06022771183376,5.06022771183376,1
1,1,1,6.24575338962255,4.83009079661804,4.83009079661804,1
1,2,2,4.95012021188726,6.47452060318331,6.47452060318331,1
1,3,3,6.82702866586165,5.87602490808749,5.87602490808749,1
1,4,4,5.24669694314089,4.96079554901246,4.96079554901246,1
1,5,5,5.16896219175102,5.8921927910526,5.8921927910526,1
1,6,6,5.89845159566012,6.8810065541715,6.8810065541715,1
1,7,7,5.69045544976029,5.17777842588579,5.17777842588579,1
1,8,8,5.38731496000795,6.61593373522673,6.61593373522673,1
1,9,9,5.63787147136533,5.88120401179587,5.88120401179587,1
1,10,10,5.94128047525692,5.67153046844105,5.67153046844105,1
1,11,11,5.29562182391409,5.17925131752039,5.17925131752039,1
1,12,12,6.1753164297821,4.98160185719945,4.98160185719945,1
1,13,13,5.6682377403113,6.11572736301753,6.11572736301753,1
1,14,14,NA,NA,4.5829254536734,1
1,15,15,NA,NA,6.8985321366134,1
1,16,16,NA,NA,6.95043991688315,1
1,17,17,NA,NA,4.74588342505173,1
1,18,18,NA,NA,6.8292590407234,1
1,19,19,NA,NA,4.89333286784643,1
1,20,20,NA,NA,4.27448105186668,1
1,21,21,NA,NA,4.21137991514881,1
1,22,22,NA,NA,6.33808061225283,1
1,23,23,NA,NA,4.09482578921395,1
1,24,24,NA,NA,7.05892973375035,1
2,0,0,3.71926160334799,4.42374873894335,4.42374873894335,0
2,1,1,5.45321639735826,5.33733835708301,5.33733835708301,0
2,2,2,3.85207301146949,4.81914884244119,4.81914884244119,0
2,3,3,4.42421137445248,2.15823557329033,2.15823557329033,0
2,4,4,4.91671422192188,4.00794684975559,4.00794684975559,0
2,5,5,4.56880471178861,4.06582912073926,4.06582912073926,0
2,6,6,5.21862846446247,4.68595081839876,4.68595081839876,0
2,7,7,4.60350372508293,3.49550662063608,3.49550662063608,0
2,8,8,5.90477057732334,3.72769249351706,3.72769249351706,0
2,9,9,3.45196208061702,3.37485053266804,3.37485053266804,0
2,10,10,3.24424304482228,5.5387062998776,5.5387062998776,0
2,11,11,2.51454271034288,2.77116015292057,2.77116015292057,0
2,12,12,6.11846964972934,5.31914995218557,5.31914995218557,0
2,13,13,4.57496413615466,2.44551428028753,2.44551428028753,0
2,14,14,3.94217714324055,1.65820486097758,1.65820486097758,0
2,15,15,3.94381136313699,4.27944530699096,4.27944530699096,0
2,16,16,3.42608311559816,2.89683334043638,2.89683334043638,0
2,17,17,4.28512050008266,4.62496796574657,4.62496796574657,0
2,18,18,5.01263891554671,3.69647253602953,3.69647253602953,0
2,19,19,3.85226461132045,2.42502445511992,2.42502445511992,0
2,20,20,3.7288423036582,4.21121352227152,4.21121352227152,0
2,21,21,5.07374769876583,3.08229591045678,3.08229591045678,0
2,22,22,4.57731235806241,4.2373463637245,4.2373463637245,0
2,23,23,4.58383033662886,3.63572789503269,3.63572789503269,0
2,24,24,4.54614350221536,6.01057708196254,6.01057708196254,0
3,0,0,4.55627887116345,2.59617759436261,2.59617759436261,1
3,1,1,4.67924697546777,3.00339895440774,3.00339895440774,1
3,2,2,4.82360154267329,4.33666516217481,4.33666516217481,1
3,3,3,4.53666146213567,2.22454985842489,2.22454985842489,1
3,4,4,3.71894488124873,1.98269950344162,1.98269950344162,1
3,5,5,5.39088560658288,4.89971804609502,4.89971804609502,1
3,6,6,4.58052582483363,3.52310388908912,3.52310388908912,1
3,7,7,5.9901940883467,6.48469507393229,6.48469507393229,1
3,8,8,4.74514054930797,4.06512963474668,4.06512963474668,1
3,9,9,4.35284083276667,3.56013500555799,3.56013500555799,1
3,10,10,4.77241597796624,3.43076456365612,3.43076456365612,1
3,11,11,5.48841230577176,5.07004587138228,5.07004587138228,1
3,12,12,4.47264939052141,3.75725203652111,3.75725203652111,1
3,13,13,5.08456181910253,4.24734731092824,4.24734731092824,1
3,14,14,4.79976826948557,3.53099042691196,3.53099042691196,1
3,15,15,5.53657020634107,4.96586662269992,4.96586662269992,1
3,16,16,4.96687259165087,4.91503725526728,4.91503725526728,1
3,17,17,5.00081799318501,3.7451147823991,3.7451147823991,1
3,18,18,5.71349743300899,6.68561861047654,6.68561861047654,1
3,19,19,4.82706545569355,2.8092777323586,2.8092777323586,1
